PIR
time,open,high,low,close,volume
2019-10-28 09:31:00,6.99,6.99,6.99,6.99,0.0
2019-10-28 09:32:00,7.2551,7.2551,7.2551,7.2551,606.0
2019-10-28 09:34:00,7.1512,7.1512,7.1512,7.1512,105.0
2019-10-28 09:36:00,7.2484,7.2484,7.2484,7.2484,200.0
2019-10-28 09:37:00,7.135,7.135,7.135,7.135,104.0
2019-10-28 09:38:00,6.9948,7.0745,6.98,6.98,1742.0
2019-10-28 09:40:00,6.95,6.95,6.95,6.95,323.0
2019-10-28 09:41:00,6.9103,6.9567,6.9066,6.9503,1111.0
2019-10-28 09:42:00,6.8,6.8,6.8,6.8,181.0
2019-10-28 09:43:00,6.8422,6.8422,6.8422,6.8422,119.0
2019-10-28 09:45:00,6.8,6.8,6.75,6.75,1032.0
2019-10-28 09:46:00,6.6601,6.6652,6.6552,6.6601,4784.0
2019-10-28 09:47:00,6.69,6.7785,6.69,6.721,17942.0
2019-10-28 09:48:00,6.77,6.77,6.69,6.69,938.0
2019-10-28 09:49:00,6.68,6.68,6.68,6.68,209.0
2019-10-28 09:50:00,6.7,6.9434,6.7,6.9434,1427.0
2019-10-28 09:53:00,6.81,6.82,6.81,6.81,657.0
2019-10-28 09:57:00,6.94,6.94,6.94,6.94,800.0
2019-10-28 09:58:00,6.8471,6.8471,6.81,6.81,370.0
2019-10-28 09:59:00,6.81,6.81,6.81,6.81,110.0
2019-10-28 10:03:00,6.85,6.85,6.85,6.85,100.0
2019-10-28 10:04:00,6.93,6.93,6.93,6.93,242.0
2019-10-28 10:16:00,6.8001,6.8001,6.8001,6.8001,450.0
2019-10-28 10:17:00,6.82,6.8266,6.81,6.81,1459.0
2019-10-28 10:18:00,6.8,6.82,6.73,6.73,7295.0
2019-10-28 10:20:00,6.74,6.74,6.74,6.74,179.0
2019-10-28 10:23:00,6.71,6.7287,6.69,6.69,6009.0
2019-10-28 10:24:00,6.68,6.7562,6.68,6.7562,611.0
2019-10-28 10:25:00,6.77,6.77,6.77,6.77,456.0
2019-10-28 10:29:00,6.77,6.78,6.77,6.77,700.0
2019-10-28 10:33:00,6.79,6.81,6.79,6.8,325.0
2019-10-28 10:35:00,6.8,6.82,6.8,6.82,422.0
2019-10-28 10:36:00,6.8,6.89,6.8,6.89,1716.0
2019-10-28 10:37:00,6.81,6.81,6.81,6.81,100.0
2019-10-28 10:38:00,6.8301,6.8301,6.8301,6.8301,103.0
2019-10-28 10:39:00,6.87,6.87,6.87,6.87,154.0
2019-10-28 10:41:00,6.8,6.8,6.8,6.8,609.0
2019-10-28 10:42:00,6.79,6.79,6.79,6.79,434.0
2019-10-28 10:46:00,6.7602,6.8063,6.7563,6.8002,1041.0
2019-10-28 10:47:00,6.8,6.8,6.8,6.8,100.0
2019-10-28 10:48:00,6.8,6.8,6.71,6.71,4333.0
2019-10-28 10:51:00,6.71,6.71,6.71,6.71,116.0
2019-10-28 10:52:00,6.7203,6.7203,6.71,6.71,2100.0
2019-10-28 10:53:00,6.7396,6.7396,6.7396,6.7396,111.0
2019-10-28 10:54:00,6.7803,6.8564,6.7663,6.7803,4162.0
2019-10-28 10:57:00,6.82,6.82,6.82,6.82,100.0
2019-10-28 10:58:00,6.83,6.83,6.83,6.83,152.0
2019-10-28 10:59:00,6.8367,6.8367,6.8,6.8,566.0
2019-10-28 11:00:00,6.81,6.83,6.81,6.82,1373.0
2019-10-28 11:02:00,6.88,6.9,6.82,6.82,3052.0
2019-10-28 11:03:00,6.83,6.9,6.83,6.9,1127.0
2019-10-28 11:04:00,6.88,6.88,6.88,6.88,1293.0
2019-10-28 11:05:00,6.85,6.87,6.84,6.85,1757.0
2019-10-28 11:06:00,6.8502,6.8867,6.8366,6.8802,588.0
2019-10-28 11:07:00,6.83,6.83,6.83,6.83,0.0
2019-10-28 11:11:00,6.81,6.81,6.81,6.81,77090.0
2019-10-28 11:15:00,6.82,6.82,6.81,6.81,516.0
2019-10-28 11:17:00,6.84,6.84,6.84,6.84,200.0
2019-10-28 11:18:00,6.8502,6.8764,6.8263,6.8702,1409.0
2019-10-28 11:19:00,6.88,6.88,6.84,6.84,1150.0
2019-10-28 11:26:00,6.74,6.74,6.731,6.731,501.0
2019-10-28 11:27:00,6.71,6.71,6.71,6.71,300.0
2019-10-28 11:28:00,6.72,6.83,6.72,6.83,2710.0
2019-10-28 11:29:00,6.83,6.83,6.83,6.83,196.0
2019-10-28 11:30:00,6.79,6.79,6.77,6.77,1400.0
2019-10-28 11:32:00,6.83,6.83,6.83,6.83,200.0
2019-10-28 11:33:00,6.8,6.81,6.8,6.81,1000.0
2019-10-28 11:34:00,6.81,6.81,6.81,6.81,1708.0
2019-10-28 11:35:00,6.75,6.76,6.73,6.73,496.0
2019-10-28 11:36:00,6.76,6.76,6.75,6.75,2593.0
2019-10-28 11:41:00,6.73,6.73,6.71,6.71,610.0
2019-10-28 11:42:00,6.7773,6.78,6.7773,6.78,330.0
2019-10-28 11:46:00,6.765,6.765,6.7332,6.7332,290.0
2019-10-28 11:48:00,6.75,6.75,6.75,6.75,432.0
2019-10-28 11:55:00,6.75,6.75,6.75,6.75,200.0
2019-10-28 11:57:00,6.7803,6.8065,6.7665,6.8001,3875.0
2019-10-28 11:58:00,6.8503,6.8566,6.7565,6.7603,5016.0
2019-10-28 12:07:00,6.7703,6.7763,6.7663,6.7683,2719.0
2019-10-28 12:08:00,6.78,6.8,6.78,6.8,300.0
2019-10-28 12:10:00,6.8,6.8,6.8,6.8,100.0
2019-10-28 12:18:00,6.8001,6.8002,6.8,6.8,9000.0
2019-10-28 12:19:00,6.81,6.81,6.8,6.8,2226.0
2019-10-28 12:20:00,6.8,6.8,6.8,6.8,101.0
2019-10-28 12:21:00,6.8,6.8,6.8,6.8,100.0
2019-10-28 12:22:00,6.8,6.8,6.8,6.8,210.0
2019-10-28 12:23:00,6.8,6.8137,6.8,6.8137,400.0
2019-10-28 12:28:00,6.8,6.8,6.8,6.8,2140.0
2019-10-28 12:34:00,6.7603,6.7663,6.7563,6.7603,1577.0
2019-10-28 12:35:00,6.75,6.76,6.75,6.75,401.0
2019-10-28 12:36:00,6.75,6.75,6.75,6.75,160.0
2019-10-28 12:38:00,6.75,6.75,6.75,6.75,100.0
2019-10-28 12:39:00,6.7795,6.8466,6.7715,6.7903,8984.0
2019-10-28 12:40:00,6.79,6.79,6.79,6.79,100.0
2019-10-28 12:43:00,6.76,6.76,6.76,6.76,106.0
2019-10-28 12:46:00,6.77,6.77,6.77,6.77,100.0
2019-10-28 12:47:00,6.78,6.83,6.78,6.83,6725.0
2019-10-28 12:48:00,6.83,6.83,6.78,6.78,799.0
2019-10-28 12:49:00,6.79,6.79,6.75,6.75,3700.0
2019-10-28 12:50:00,6.85,6.85,6.77,6.77,4969.0
2019-10-28 12:51:00,6.77,6.79,6.77,6.79,201.0
2019-10-28 12:52:00,6.78,6.78,6.78,6.78,140.0
2019-10-28 12:53:00,6.77,6.8,6.77,6.78,2523.0
2019-10-28 12:54:00,6.8601,6.8659,6.8259,6.8301,1425.0
2019-10-28 12:56:00,6.78,6.79,6.78,6.79,500.0
2019-10-28 12:57:00,6.79,6.79,6.77,6.77,2953.0
2019-10-28 12:59:00,6.79,6.79,6.79,6.79,1650.0
2019-10-28 13:00:00,6.81,6.82,6.8,6.8,1144.0
2019-10-28 13:01:00,6.81,6.81,6.78,6.78,571.0
2019-10-28 13:02:00,6.81,6.81,6.75,6.75,1381.0
2019-10-28 13:03:00,6.77,6.79,6.77,6.79,379.0
2019-10-28 13:04:00,6.75,6.79,6.75,6.79,521.0
2019-10-28 13:05:00,6.8,6.8,6.8,6.8,1821.0
2019-10-28 13:06:00,6.81,6.81,6.81,6.81,699.0
2019-10-28 13:07:00,6.8102,6.8363,6.7763,6.8302,1765.0
2019-10-28 13:18:00,6.855,6.855,6.855,6.855,100.0
2019-10-28 13:19:00,6.82,6.82,6.82,6.82,200.0
2019-10-28 13:24:00,6.835,6.835,6.835,6.835,202.0
2019-10-28 13:28:00,6.8303,6.8366,6.8065,6.8103,1722.0
2019-10-28 13:29:00,6.8,6.84,6.8,6.82,2501.0
2019-10-28 13:30:00,6.85,6.85,6.85,6.85,743.0
2019-10-28 13:31:00,6.8,6.8,6.8,6.8,488.0
2019-10-28 13:33:00,6.8078,6.8078,6.8078,6.8078,211.0
2019-10-28 13:35:00,6.8,6.8001,6.8,6.8001,899.0
2019-10-28 13:38:00,6.81,6.81,6.8005,6.8005,620.0
2019-10-28 13:41:00,6.8,6.8,6.8,6.8,115.0
2019-10-28 13:42:00,6.8,6.8,6.8,6.8,374.0
2019-10-28 13:48:00,6.8,6.81,6.8,6.81,1286.0
2019-10-28 13:49:00,6.8,6.8,6.8,6.8,787.0
2019-10-28 13:56:00,6.77,6.77,6.77,6.77,843.0
2019-10-28 13:57:00,6.77,6.77,6.77,6.77,385.0
2019-10-28 14:00:00,6.73,6.73,6.73,6.73,100.0
2019-10-28 14:01:00,6.7302,6.7466,6.7266,6.7302,415.0
2019-10-28 14:03:00,6.75,6.75,6.74,6.74,320.0
2019-10-28 14:07:00,6.7501,6.7659,6.7458,6.7601,304.0
2019-10-28 14:10:00,6.7624,6.7624,6.7624,6.7624,205.0
2019-10-28 14:13:00,6.7601,6.7753,6.7153,6.7701,3794.0
2019-10-28 14:14:00,6.8,6.8,6.75,6.75,2531.0
2019-10-28 14:15:00,6.71,6.77,6.71,6.77,1834.0
2019-10-28 14:16:00,6.79,6.79,6.77,6.77,1321.0
2019-10-28 14:17:00,6.7702,6.7866,6.7466,6.7702,2262.0
2019-10-28 14:18:00,6.7751,6.7751,6.7751,6.7751,191.0
2019-10-28 14:21:00,6.72,6.72,6.72,6.72,200.0
2019-10-28 14:23:00,6.73,6.73,6.71,6.71,346.0
2019-10-28 14:24:00,6.77,6.77,6.62,6.62,7068.0
2019-10-28 14:25:00,6.7,6.7,6.7,6.7,410.0
2019-10-28 14:26:00,6.62,6.7,6.62,6.69,5210.0
2019-10-28 14:27:00,6.6903,6.6964,6.6364,6.6393,9288.0
2019-10-28 14:28:00,6.6403,6.6464,6.6364,6.6403,610.0
2019-10-28 14:29:00,6.64,6.65,6.64,6.65,1289.0
2019-10-28 14:30:00,6.66,6.66,6.66,6.66,320.0
2019-10-28 14:32:00,6.66,6.66,6.66,6.66,410.0
2019-10-28 14:33:00,6.66,6.68,6.66,6.67,1070.0
2019-10-28 14:34:00,6.6,6.61,6.6,6.61,571.0
2019-10-28 14:45:00,6.5803,6.5963,6.3761,6.5003,8860.0
2019-10-28 14:46:00,6.49,6.5,6.49,6.5,586.0
2019-10-28 14:47:00,6.49,6.49,6.49,6.49,197.0
2019-10-28 14:48:00,6.49,6.4903,6.48,6.48,851.0
2019-10-28 14:50:00,6.37,6.37,6.35,6.35,297.0
2019-10-28 14:51:00,6.3173,6.34,6.31,6.31,7803.0
2019-10-28 14:54:00,6.3707,6.3707,6.34,6.34,333.0
2019-10-28 14:57:00,6.3998,6.3998,6.3998,6.3998,112.0
2019-10-28 14:58:00,6.3833,6.4,6.38,6.4,801.0
2019-10-28 14:59:00,6.4027,6.4027,6.4027,6.4027,122.0
2019-10-28 15:00:00,6.4,6.4,6.4,6.4,1257.0
2019-10-28 15:14:00,6.37,6.37,6.37,6.37,110.0
2019-10-28 15:16:00,6.37,6.37,6.37,6.37,101.0
2019-10-28 15:18:00,6.37,6.37,6.37,6.37,210.0
2019-10-28 15:19:00,6.38,6.38,6.38,6.38,110.0
2019-10-28 15:21:00,6.37,6.37,6.37,6.37,219.0
2019-10-28 15:22:00,6.37,6.37,6.37,6.37,110.0
2019-10-28 15:23:00,6.3585,6.3591,6.3585,6.3591,400.0
2019-10-28 15:24:00,6.37,6.37,6.3514,6.3514,880.0
2019-10-28 15:25:00,6.36,6.36,6.34,6.34,210.0
2019-10-28 15:26:00,6.34,6.34,6.34,6.34,2608.0
2019-10-28 15:27:00,6.3403,6.3761,6.3386,6.3703,437.0
2019-10-28 15:30:00,6.3656,6.39,6.3656,6.39,320.0
2019-10-28 15:32:00,6.3684,6.3765,6.3684,6.3765,350.0
2019-10-28 15:33:00,6.3738,6.43,6.3738,6.43,3260.0
2019-10-28 15:34:00,6.42,6.42,6.42,6.42,129.0
2019-10-28 15:36:00,6.42,6.45,6.42,6.44,303.0
2019-10-28 15:37:00,6.42,6.42,6.42,6.42,300.0
2019-10-28 15:38:00,6.38,6.38,6.35,6.35,2010.0
2019-10-28 15:39:00,6.393,6.42,6.393,6.42,306.0
2019-10-28 15:41:00,6.36,6.36,6.36,6.36,200.0
2019-10-28 15:44:00,6.36,6.36,6.36,6.36,100.0
2019-10-28 15:47:00,6.35,6.38,6.35,6.38,339.0
2019-10-28 15:49:00,6.36,6.36,6.36,6.36,100.0
2019-10-28 15:50:00,6.35,6.35,6.35,6.35,100.0
